,id,name,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,achievement_count,athlete_count,start_date,average_speed,max_speed,average_cadence,has_heartrate,average_heartrate,max_heartrate,elev_high,elev_low,pr_count
81,7397680281,Morning Ride,13.463783023000001,0.8077777777777778,0.8163888888888889,45.2,Ride,Ride,4,1,2022-07-01T12:36:15Z,7.451,14.07,{},True,134.9,157.0,1355.5,1313.8,0
82,7387440920,Morning Run,1.009042743,0.1438888888888889,0.1438888888888889,5.8,Run,Run,3,1,2022-06-29T13:25:43Z,3.135,4.717,{},True,144.0,167.0,1355.4,1349.1,2
83,7381884480,Morning Ride,12.430693261,0.7666666666666667,0.7666666666666667,123.9,Ride,Ride,15,1,2022-06-28T13:00:20Z,7.248,15.573,{},True,133.3,178.0,1365.1,1322.1,11
84,7362802529,Antelope Island Classic,44.199477251000005,2.4125,2.443888888888889,427.4,Ride,Ride,43,4,2022-06-24T19:28:29Z,8.19,18.641,{},True,163.5,183.0,1353.6,1282.6,30
85,7344682543,Morning Ride,15.78839033,0.96,0.9713888888888889,47.3,Ride,Ride,12,1,2022-06-21T12:25:34Z,7.352,13.78,{},True,136.8,160.0,1355.7,1310.5,8
86,7342374011,Evening Ride,15.352561411999998,1.2838888888888889,1.3777777777777778,390.7,Ride,Ride,25,1,2022-06-21T00:04:34Z,5.346,14.974,{},True,108.6,127.0,1897.8,1503.2,1
87,7320124863,Lunch Ride,12.969048229,0.7355555555555555,0.7483333333333333,40.3,Ride,Ride,9,1,2022-06-16T17:58:37Z,7.882,14.549,{},True,142.1,179.0,1352.6,1313.8,7
88,7309927907,Afternoon Ride,9.839207539,0.5780555555555555,0.6038888888888889,43.1,Ride,Ride,6,1,2022-06-14T21:36:10Z,7.609,13.656,{},True,139.0,172.0,1355.9,1315.9,3
89,7292184647,Millcreek to Big Mountain,42.508232385,3.354722222222222,4.751944444444445,1216.3,Ride,Ride,99,1,2022-06-11T12:23:23Z,5.665,16.291,{},True,137.5,174.0,2254.5,1459.7,81
90,7264223808,Morning Ride,11.589668966,0.6833333333333333,0.6919444444444445,43.8,Ride,Ride,5,1,2022-06-06T12:19:23Z,7.582,15.151,{},True,132.9,170.0,1355.6,1315.3,0
91,7254842523,West Mountain Race,26.351245371,1.4591666666666667,1.7480555555555555,201.8,Ride,Ride,0,4,2022-06-04T15:30:16Z,8.073,17.83,{},True,155.3,183.0,1462.7,1371.0,0
92,7244534913,Lunch Ride,13.245992838000001,0.7547222222222222,0.7722222222222223,45.3,Ride,Ride,12,1,2022-06-02T17:47:33Z,7.846,14.879,{},True,143.4,180.0,1355.7,1313.8,4
93,7239134045,Lunch Ride,14.273117448,0.8661111111111112,0.8994444444444445,135.7,Ride,Ride,20,1,2022-06-01T18:00:00Z,7.367,16.732,{},True,145.5,172.0,1355.1,1322.3,14
